id,dayStart,dayEnd,reachImps,targetSegment,videoCoef,mobileCoef,adxCost,targetedImps,untargetedImps,budget,revenue,profitEstimate,cmpBid,impressionTarget,uncorrectedProfitEstimate,costEstimate,estImpCost,estUcsCost,qualityChange,estQualityChange,ucsCost,estCostAcc,estProfitAcc,uncorrectedProffitAcc,estQualityChangeAcc,impTargetFulfillment,bidVs2ndRatio,profit,profitPerImpression,reachFulfillment,estUcsCostAcc
13184739,13,22,22945,[YOUNG],2.9197003287858667,1.6592262898984185,0.20801094953350852,13318.51406950414,0.0,8.055,2.5123496888783636,40.31722725326178,8.05522861374671,31205,-12.964179114996906,22.301999999999992,22.301999999999992,20.801999999999992,1.4999999999999998,-0.42367314392067945,-7.820621136063188E-4,0.29692144909526785,100.00435095677017,17.49622421603012,-5.62598670657368,0.0018459091042899271,0.426807052379559,0.5943947074359072,2.304338739344855,1.7301770507726377E-4,0.5804538709742488,5.051841167320727
21597347,37,46,2048,[HIGH_INCOME- FEMALE- YOUNG],2.9620335908548308,2.4770910415052683,0.01677567368270995,1074.2593249773122,0.0,1.55,0.3803257057544417,1.1100255719938383,0.7899567283311814,3563,-1.937914002402315,3.87,3.87,2.3700000000000006,1.4999999999999998,-0.19363667239091897,0.033498188320365774,0.20488621230644413,141.27599551740624,3.0532952113034613,-5.330529037114613,-0.1729950629018181,0.3015041608131665,0.1909129712017218,0.36355003207173175,3.3841924721426996E-4,0.5245406860240782,7.321136855009454
13966393,7,16,2035,[HIGH_INCOME- FEMALE- OLD],2.7916580339039747,1.902038962757652,0.015251428593177355,897.2641673311352,0.0,0.322,0.05485056844947482,NaN,0.32296406643180675,2645,-2.907171488184122,3.2579999999999996,3.2579999999999996,1.7579999999999998,1.4999999999999998,-0.4898816102609855,-0.0017979356270467761,0.2921568832513765,115.26789043135484,NaN,-73.41501605171338,0.0036701431312943593,0.339230309009881,0.4985171915296247,0.03959913985629747,4.4133201010448255E-5,0.4409160527425726,5.134227827551732
20759377,55,57,994,[HIGH_INCOME- FEMALE],2.212160986916788,2.2000924648518176,0.011443303236471964,996.3341639457801,0.0,0.248,0.0,0.5789459272546695,0.15610758348652984,1252,-1.3055267514892708,1.5768,1.5768,1.1268,0.44999999999999996,0.0,0.30868139767456915,0.1542515596336851,0.0,0.0,0.0,0.0,0.0,0.4033905061291527,0.0,0.0,0.0,0.0
25400428,4,6,1987,[HIGH_INCOME- MALE],2.09615652773426,1.947911924146883,1.5588680715366634,2757.561513690033,0.0,0.756,0.9099404919131077,NaN,0.36713120393120396,3934,-3.184639223539378,3.9905999999999997,3.9905999999999997,3.5405999999999995,0.44999999999999996,0.018033237568235272,0.17177136225705825,0.14616380948685165,2.271263402367227,NaN,4.907541802101852,9.525264756652776,0.7009561549796728,0.5787058363005483,-0.6489275796235557,-2.3532660156516067E-4,1.3878014663764635,3.0787374903531117
14785873,21,30,3672,[YOUNG- LOW_INCOME- MALE],2.636176053868592,2.026641098689416,0.09122641930198158,7348.362656720474,0.0,1.069,1.3784330173120636,5.497803871498246,0.6677006998678802,7270,-5.018574998057392,6.341999999999999,6.341999999999999,4.841999999999999,1.4999999999999998,0.49139090259378604,0.3675570430179297,0.2417063283805908,53.07672971326216,4.271112251908442,-3.898810809248264,0.7479931782981643,1.010778907389336,0.6007892596667852,1.287206598010082,1.7516917143887314E-4,2.001188087342177,6.205878058923222
22235297,10,14,5882,[YOUNG- MALE],2.4155937917905064,1.5366514483976448,0.07865159182862183,5883.072204512399,0.0,4.145,4.1455433097578664,13.167266015846474,1.6757118473574721,11646,-4.233991440233158,9.483,9.483,8.733,0.75,0.019848965234572247,0.056772115566950276,0.1202592497389521,111.03398922972599,3.2376731246119586,-1.041087821828951,2.8602053001768852,0.5051581834546109,0.39898141153144995,4.066891717929245,6.91287065083084E-4,1.0001822857042502,6.236526517735909
19299476,56,58,614,[HIGH_INCOME- FEMALE- YOUNG],2.585838599912301,1.8211784191664853,0.02805824471796364,1232.6632730651272,0.0,0.22,0.0,0.40309682958663867,0.09681092179147818,785,-0.9089859168045888,1.1556,1.1556,0.7056,0.44999999999999996,0.0,0.31330011541563796,0.2203593709052644,0.0,0.0,0.0,0.0,0.0,0.28200384327286304,0.0,0.0,0.0,0.0
3674189,29,38,814,[HIGH_INCOME- FEMALE- OLD],2.795533689628334,2.170880507953954,0.17719416881926042,1632.1870940592335,0.0,0.161,0.20764873169881887,1.4707783718737928,0.1379499244247565,1611,-2.3963805922976285,2.5739999999999994,2.5739999999999994,1.0739999999999996,1.4999999999999998,0.049695573123246906,0.31352022680639635,0.22816729784981382,6.061147537510045,48.2941875636311,-78.68707890422931,6.308815999140493,1.013151517106911,1.0767208138264797,0.030454562879558444,1.8658745060787266E-5,2.0051438501956187,6.574123523114791
21354173,19,21,994,[HIGH_INCOME- FEMALE],2.0955187625439966,1.5327448418495595,0.022601894889093293,995.2608286502485,0.0,0.29,0.2902798778971698,1.8519820779666407,0.20098829490713957,1968,-1.915312749654392,2.2211999999999996,2.2211999999999996,1.7711999999999999,0.44999999999999996,-0.02523704866253218,0.18828954220663052,0.11937614896491558,78.36511092062042,6.918694085911286,-7.15528684178931,-7.460838417535402,0.5057219657775653,0.7055735551510416,0.2676779830080765,2.689525954428405E-4,1.0012684392859643,3.7695972260945867
