GameId,BidDay,CampId,AdType,Device,Publisher,Gender,MktGender,Income,MktIncome,Age,MktAge,BidCount,WinCount,TotalCost,CostImpr,LostCount
203,1,17052543,video,mobile,sears,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,3,3,2.48847788361942E-7,8.2949262787314E-5,0
203,1,17052543,video,mobile,hfn,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,8,8,8.359033027234049E-7,1.0448791284042561E-4,0
203,1,17052543,video,mobile,fox,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,11,11,7.712493475929919E-6,7.011357705390835E-4,0
203,1,17052543,video,mobile,wallmart,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,35,35,3.6738223423149877E-6,1.0496635263757108E-4,0
203,1,17052543,video,mobile,fox,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,1,1,1.7334885167685128E-7,1.7334885167685128E-4,0
203,1,17052543,video,mobile,weather,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,8,8,9.099251327828968E-7,1.1374064159786211E-4,0
203,1,17052543,video,mobile,sears,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,1,1,1.6587315681875378E-7,1.6587315681875379E-4,0
203,1,17052543,video,mobile,sears,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,3,3,2.833480922646067E-7,9.444936408820223E-5,0
203,1,17052543,video,mobile,fox,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,4,4,3.369862117255846E-7,8.424655293139615E-5,0
203,1,17052543,video,mobile,wallmart,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,3,3,2.42045546378698E-7,8.068184879289935E-5,0
203,2,17052543,video,mobile,wallmart,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,22,22,3.2085368094058566E-6,1.4584258224572077E-4,0
203,2,17052543,video,mobile,tripadvisor,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,2,2,2.3500495370038533E-7,1.1750247685019266E-4,0
203,2,17052543,video,mobile,fox,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,1,1,1.4348557443216437E-7,1.4348557443216438E-4,0
