GameId,BidDay,CampId,AdType,Device,Publisher,Gender, MktGender,Income,MktIncome,Age,MktAge,BidCount,WinCount,TotalCost,CostImpr,LostCount
203,1,17052543,text,mobile,wallmart,female,FEMALE,very_high,HIGH_INCOME,Age_25_34,YOUNG,24,24,0.006099842429666292,2.5416010123609554E-4,0
203,1,17052543,text,mobile,tripadvisor,female,FEMALE,high,HIGH_INCOME,Age_35_44,YOUNG,3,3,4.0689429320579627E-4,1.3563143106859875E-4,0
203,1,17052543,text,pc,hfn,female,FEMALE,high,HIGH_INCOME,Age_18_24,YOUNG,2,2,0.003981873745543432,0.001990936872771716,0
203,1,17052543,video,pc,hfn,female,FEMALE,high,HIGH_INCOME,Age_35_44,YOUNG,9,9,0.00106278212917545,1.1808690324171667E-4,0
203,1,17052543,text,mobile,hfn,male,MALE,high,HIGH_INCOME,Age_25_34,YOUNG,15,15,0.001889843470234442,1.2598956468229614E-4,0
203,1,17052543,video,mobile,weather,male,MALE,high,HIGH_INCOME,Age_35_44,YOUNG,26,26,0.015162369372026715,5.831680527702582E-4,0
203,1,17052543,text,pc,wallmart,female,FEMALE,high,HIGH_INCOME,Age_35_44,YOUNG,76,76,0.014725148774314776,1.9375195755677336E-4,0
203,1,17052543,text,mobile,weather,male,MALE,high,HIGH_INCOME,Age_18_24,YOUNG,3,3,3.2842985022592166E-4,1.0947661674197389E-4,0
203,1,17052543,text,mobile,wallmart,male,MALE,high,HIGH_INCOME,Age_25_34,YOUNG,120,120,0.05647572158679078,4.7063101322325653E-4,0
203,1,17052543,video,mobile,weather,female,FEMALE,high,HIGH_INCOME,Age_25_34,YOUNG,7,7,0.0010815626151373999,1.5450894501962856E-4,0
203,1,17052543,text,mobile,hfn,female,FEMALE,very_high,HIGH_INCOME,Age_35_44,YOUNG,3,3,2.198371786737737E-4,7.327905955792457E-5,0
203,1,17052543,video,pc,wallmart,female,FEMALE,very_high,HIGH_INCOME,Age_18_24,YOUNG,2,2,1.957002069997911E-4,9.785010349989555E-5,0
203,1,17052543,text,mobile,hfn,male,MALE,high,HIGH_INCOME,Age_18_24,YOUNG,2,2,1.7685920919946937E-4,8.842960459973469E-5,0
203,1,17052543,video,pc,wallmart,female,FEMALE,high,HIGH_INCOME,Age_25_34,YOUNG,58,58,0.013999032713540253,2.4136263299207332E-4,0
203,1,17052543,text,mobile,weather,female,FEMALE,high,HIGH_INCOME,Age_35_44,YOUNG,5,5,3.9130115254507167E-4,7.826023050901433E-5,0
203,1,17052543,text,mobile,hfn,female,FEMALE,very_high,HIGH_INCOME,Age_25_34,YOUNG,3,3,4.6335512989799843E-4,1.5445170996599949E-4,0
203,1,17052543,text,pc,sears,male,MALE,very_high,HIGH_INCOME,Age_25_34,YOUNG,2,2,2.214727979549579E-4,1.1073639897747895E-4,0
203,1,17052543,video,mobile,wallmart,female,FEMALE,very_high,HIGH_INCOME,Age_35_44,YOUNG,39,39,0.01168073318987262,2.9950597922750305E-4,0
203,1,17052543,video,mobile,wallmart,female,FEMALE,high,HIGH_INCOME,Age_18_24,YOUNG,5,5,3.1957472163816636E-4,6.391494432763327E-5,0
203,1,17052543,video,mobile,tripadvisor,female,FEMALE,high,HIGH_INCOME,Age_18_24,YOUNG,1,1,1.8449964191189636E-4,1.8449964191189636E-4,0
